epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.533,1.25472,1.44153,1.15164,0.92957,0.7997,0.87596,0.57204,1.24479,0.94753,1.17831,0.000665158,0.000665158,0.000665158
2,290.437,1.27421,0.84764,1.15737,0.83527,0.85786,0.84795,0.55204,1.22756,0.91519,1.14482,0.0012659,0.0012659,0.0012659
3,432.862,1.27046,0.78115,1.15951,0.89312,0.82233,0.88474,0.57424,1.24764,0.86991,1.16145,0.00180064,0.00180064,0.00180064
4,575.984,1.24121,0.73387,1.14386,0.93234,0.86012,0.9157,0.59655,1.24236,0.73585,1.17766,0.001703,0.001703,0.001703
5,719.034,1.20404,0.68014,1.12815,0.96527,0.90296,0.93932,0.62756,1.20361,0.61112,1.14184,0.001604,0.001604,0.001604
6,859.416,1.19905,0.65209,1.11377,0.96096,0.90478,0.94812,0.63729,1.1743,0.60597,1.1071,0.001505,0.001505,0.001505
7,998.938,1.19214,0.62569,1.10614,0.97258,0.92109,0.95932,0.65413,1.151,0.5378,1.09477,0.001406,0.001406,0.001406
8,1140.72,1.15927,0.60985,1.09855,0.97085,0.91051,0.94982,0.65383,1.16055,0.53811,1.09283,0.001307,0.001307,0.001307
9,1282.14,1.15302,0.5869,1.09075,0.9859,0.9221,0.95686,0.65859,1.14233,0.51388,1.08974,0.001208,0.001208,0.001208
10,1421.47,1.13391,0.56041,1.07814,0.96621,0.925,0.95854,0.66729,1.14159,0.49607,1.08181,0.001109,0.001109,0.001109
11,1556.79,1.12332,0.52393,1.09594,0.98067,0.92255,0.9597,0.6677,1.1209,0.52224,1.07973,0.00101,0.00101,0.00101
12,1688.73,1.11398,0.50818,1.09296,0.97801,0.93195,0.96389,0.66964,1.1215,0.49442,1.0747,0.000911,0.000911,0.000911
13,1822.51,1.09803,0.48631,1.07853,0.97957,0.92893,0.96566,0.68512,1.11659,0.48765,1.0682,0.000812,0.000812,0.000812
14,1957.39,1.08886,0.47864,1.07588,0.97918,0.92847,0.96724,0.67769,1.11654,0.47937,1.07067,0.000713,0.000713,0.000713
15,2092.53,1.08049,0.4669,1.07474,0.98183,0.93551,0.96878,0.689,1.10919,0.47255,1.06771,0.000614,0.000614,0.000614
16,2226.06,1.06708,0.4584,1.06555,0.97798,0.93804,0.96931,0.69238,1.09464,0.44922,1.05563,0.000515,0.000515,0.000515
17,2358.22,1.0557,0.43965,1.05509,0.97917,0.94219,0.96916,0.69458,1.08415,0.44221,1.05331,0.000416,0.000416,0.000416
18,2491.77,1.03831,0.42633,1.04942,0.97518,0.94214,0.96972,0.69588,1.08168,0.43258,1.05149,0.000317,0.000317,0.000317
19,2624.94,1.03037,0.41409,1.04279,0.98057,0.93986,0.97169,0.69972,1.07218,0.42444,1.04466,0.000218,0.000218,0.000218
20,2758.14,1.01675,0.403,1.03943,0.97736,0.94413,0.97132,0.70104,1.06606,0.4169,1.04462,0.000119,0.000119,0.000119
